Date,Price,Grid load forecast,Wind power forecast
2016-09-02 00:00:00,24.5,12593.25,111.0
2016-09-02 01:00:00,23.79,11747.75,187.25
2016-09-02 02:00:00,23.2,11355.75,474.25
2016-09-02 03:00:00,21.81,11247.25,514.5
2016-09-02 04:00:00,21.9,11198.25,563.5
2016-09-02 05:00:00,22.28,11437.0,634.0
2016-09-02 06:00:00,24.6,12366.5,658.0
2016-09-02 07:00:00,37.86,13563.0,683.25
2016-09-02 08:00:00,40.5,14799.25,693.25
2016-09-02 09:00:00,35.0,15459.75,685.25
2016-09-02 10:00:00,29.17,15758.0,707.0
2016-09-02 11:00:00,27.44,15863.75,808.25
2016-09-02 12:00:00,24.94,15741.0,911.75
2016-09-02 13:00:00,25.02,15641.25,976.75
2016-09-02 14:00:00,24.94,15481.5,1009.75
2016-09-02 15:00:00,24.3,15368.75,1033.25
2016-09-02 16:00:00,24.7,15376.0,1031.5
2016-09-02 17:00:00,31.98,15515.25,991.75
2016-09-02 18:00:00,35.14,15207.5,889.5
2016-09-02 19:00:00,36.2,14836.75,772.5
2016-09-02 20:00:00,38.38,14565.75,715.25
2016-09-02 21:00:00,33.85,14459.75,788.75
2016-09-02 22:00:00,29.98,13922.5,870.75
2016-09-02 23:00:00,24.65,13162.0,924.5
2016-09-03 00:00:00,25.37,12570.25,914.0
2016-09-03 01:00:00,23.19,11687.75,860.0
2016-09-03 02:00:00,22.65,11138.25,809.0
2016-09-03 03:00:00,23.99,10988.0,756.25
2016-09-03 04:00:00,23.85,10924.0,714.25
2016-09-03 05:00:00,24.75,10890.75,691.5
2016-09-03 06:00:00,24.42,10928.5,645.75
2016-09-03 07:00:00,28.93,11234.5,565.75
2016-09-03 08:00:00,30.5,11734.5,519.75
2016-09-03 09:00:00,31.28,12362.0,491.5
2016-09-03 10:00:00,27.0,12515.5,479.0
2016-09-03 11:00:00,26.09,12432.5,466.0
2016-09-03 12:00:00,23.97,12214.25,452.0
2016-09-03 13:00:00,23.13,11991.5,471.25
2016-09-03 14:00:00,22.65,11807.75,513.75
2016-09-03 15:00:00,23.66,11651.5,530.5
2016-09-03 16:00:00,26.68,11851.5,541.75
2016-09-03 17:00:00,30.35,12298.25,512.75
2016-09-03 18:00:00,34.2,12709.5,461.5
2016-09-03 19:00:00,37.44,13002.25,411.0
2016-09-03 20:00:00,38.56,13146.0,383.5
2016-09-03 21:00:00,37.6,13467.0,465.0
2016-09-03 22:00:00,32.91,13213.5,668.5
2016-09-03 23:00:00,28.63,12711.75,913.0
2016-09-04 00:00:00,25.0,11932.5,1167.5
2016-09-04 01:00:00,24.73,11181.0,1476.25
2016-09-04 02:00:00,23.09,10703.0,1735.25
2016-09-04 03:00:00,22.04,10417.25,1859.25
2016-09-04 04:00:00,20.81,10287.5,1935.75
2016-09-04 05:00:00,20.09,10142.25,1934.0
2016-09-04 06:00:00,20.03,10071.5,1890.5
2016-09-04 07:00:00,22.02,10013.5,1872.0
2016-09-04 08:00:00,22.38,10394.5,1878.25
2016-09-04 09:00:00,23.5,11038.75,1893.0
2016-09-04 10:00:00,23.58,11432.75,1870.0
2016-09-04 11:00:00,24.99,11567.25,1881.75
2016-09-04 12:00:00,24.31,11709.5,1982.0
2016-09-04 13:00:00,23.49,11545.0,2080.5
2016-09-04 14:00:00,20.79,11211.25,2151.75
