Date,Price,Grid load forecast,Wind power forecast
2017-09-02 00:00:00,32.22,12236.75,357.75
2017-09-02 01:00:00,31.73,11501.5,302.5
2017-09-02 02:00:00,30.06,10984.75,266.75
2017-09-02 03:00:00,29.64,10675.0,264.75
2017-09-02 04:00:00,30.6,10474.5,276.5
2017-09-02 05:00:00,29.99,10431.5,301.0
2017-09-02 06:00:00,31.1,10644.5,300.25
2017-09-02 07:00:00,32.39,10993.5,306.5
2017-09-02 08:00:00,35.1,11520.0,299.5
2017-09-02 09:00:00,38.0,12121.25,222.25
2017-09-02 10:00:00,38.15,12382.25,146.25
2017-09-02 11:00:00,38.03,12254.0,111.25
2017-09-02 12:00:00,35.37,11910.0,144.0
2017-09-02 13:00:00,33.0,11573.25,192.5
2017-09-02 14:00:00,31.78,11332.0,268.75
2017-09-02 15:00:00,30.97,11178.75,393.25
2017-09-02 16:00:00,31.5,11358.0,534.25
2017-09-02 17:00:00,32.99,11980.25,625.75
2017-09-02 18:00:00,37.25,12501.25,568.5
2017-09-02 19:00:00,40.32,12763.5,509.0
2017-09-02 20:00:00,40.52,13035.75,446.25
2017-09-02 21:00:00,38.02,13072.0,371.75
2017-09-02 22:00:00,35.65,12767.5,307.25
2017-09-02 23:00:00,34.33,12139.25,249.0
2017-09-03 00:00:00,32.85,11625.25,189.0
2017-09-03 01:00:00,37.53,11172.25,140.75
2017-09-03 02:00:00,29.8,10767.25,113.25
2017-09-03 03:00:00,29.78,10536.75,106.0
2017-09-03 04:00:00,29.64,10420.5,102.5
2017-09-03 05:00:00,29.0,10370.5,97.25
2017-09-03 06:00:00,29.99,10272.0,94.75
2017-09-03 07:00:00,30.9,10119.5,92.25
2017-09-03 08:00:00,29.45,10323.75,84.75
2017-09-03 09:00:00,30.25,10527.0,67.25
2017-09-03 10:00:00,30.26,10524.0,54.75
2017-09-03 11:00:00,30.26,10559.0,47.5
2017-09-03 12:00:00,30.7,10672.75,40.25
2017-09-03 13:00:00,29.9,10508.75,36.0
2017-09-03 14:00:00,30.0,10413.0,34.0
2017-09-03 15:00:00,30.15,10315.5,34.25
2017-09-03 16:00:00,30.22,10571.75,36.75
2017-09-03 17:00:00,30.0,11484.75,44.75
2017-09-03 18:00:00,34.15,12305.75,60.75
2017-09-03 19:00:00,38.88,12777.5,88.25
2017-09-03 20:00:00,42.27,13194.25,117.75
2017-09-03 21:00:00,39.91,13590.25,154.5
2017-09-03 22:00:00,38.42,13321.25,233.75
2017-09-03 23:00:00,33.43,12570.0,336.5
2017-09-04 00:00:00,31.03,11953.0,456.5
2017-09-04 01:00:00,29.72,11395.0,589.5
2017-09-04 02:00:00,29.41,11096.5,450.25
2017-09-04 03:00:00,29.0,10991.75,422.5
2017-09-04 04:00:00,28.09,10996.5,411.25
2017-09-04 05:00:00,30.4,11378.25,402.5
2017-09-04 06:00:00,39.67,12435.0,403.5
2017-09-04 07:00:00,43.92,13684.25,371.75
2017-09-04 08:00:00,42.95,14809.25,263.75
2017-09-04 09:00:00,42.04,15104.75,201.5
2017-09-04 10:00:00,38.85,14943.75,166.0
2017-09-04 11:00:00,35.83,14854.75,161.5
2017-09-04 12:00:00,35.49,14777.0,174.75
2017-09-04 13:00:00,40.1,14953.0,192.75
2017-09-04 14:00:00,40.59,15056.75,220.75
2017-09-04 15:00:00,35.79,15127.75,248.25
2017-09-04 16:00:00,36.6,15301.0,257.5
2017-09-04 17:00:00,39.23,15657.0,260.0
2017-09-04 18:00:00,42.91,15557.5,260.75
2017-09-04 19:00:00,45.48,15465.25,295.5
2017-09-04 20:00:00,45.71,15388.25,370.75
2017-09-04 21:00:00,42.3,15757.0,445.5
2017-09-04 22:00:00,38.93,15096.5,481.75
