Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47
2019-01-01,45.10695941634234,47.93052937916613,46.91254871760346,42.71274345491873,40.92843410606496,45.08953092868667,51.337429780972,61.57926503345125,61.43513037454517,62.28993985086631,61.14803082584098,54.464918947197866,55.32277103007397,54.822243611832654,55.62173850005696,57.45082395915436,60.87853579056512,66.76471540146684,64.89070557603931,59.51565678345053,49.692894627229045,54.71770914287669,52.40429916343178,49.62659344718048,46.946243878360214,47.509148085368366,45.21537274035095,43.040339759944715,41.64764416688488,44.96205709359387,50.37840723624144,59.42311857914977,61.13363035753334,63.61318252482222,63.22882283554664,61.13188728362515,55.49368493865275,56.61295032835401,59.50249640012233,62.707861952426754,66.6791770613042,74.48974642095627,73.23129708641989,68.17976937549628,62.60041136396973,60.777756208750326,57.128935555162705,52.56922295212049
2019-01-02,45.66771590556457,48.27693726617933,46.61967022031043,43.48084808626595,44.29116938615476,43.84874784383613,48.10278909626199,56.03523876293061,54.65300194402852,60.23260497838522,59.79761893575616,56.90187544624513,58.9191884173346,53.96495753666016,55.736915784499786,58.49410400792085,60.86846012777045,65.75994591031554,66.43465091265821,63.05694313114725,59.52850678789272,58.199613013884274,57.031766680335394,51.990647092070176,50.21809700897422,49.407744821324385,49.922082530707826,48.20679639290506,46.91721480646337,48.93647163786491,54.77133597914226,63.23666978440368,66.91525048172814,66.17293330660839,66.03183205018784,64.03503924349542,59.535485612304065,57.987658460484184,58.337791861805485,59.94037556453436,64.58901395203564,69.70190067508781,71.95253096880954,65.72673525786561,60.67343946752754,57.1406934690015,54.95189927622054,53.21710614491268
2019-01-03,51.66990125977654,52.31657590191301,51.71515659012099,49.701967941726295,52.80406354040342,52.29712687204935,55.499186891975626,66.49962839262643,67.55606910980549,65.06550453653117,68.04539329475307,63.08269542617708,59.80147109330112,56.50898640327228,60.48827709735264,64.31418525715252,68.35569501859692,74.81190682933133,78.31133133389119,71.58961224015809,59.420942139438345,56.51912987028835,55.19531585512826,54.090352622366886,50.20235054680002,49.05969986636154,48.29058108402723,47.391850435751486,47.323598211600306,47.79363734881639,57.14106145819749,66.75186251636416,67.38591914443381,67.07103280574195,63.44052666353182,59.67411650485033,56.38374267282443,54.79073276474265,57.21836053326727,59.43452367010573,64.20265925006862,72.32569638796068,69.77165271680234,62.76949838462154,57.27576157260294,53.68312561440492,51.46061599945542,50.54592886976166
2019-01-04,50.78740551742022,49.16319737749113,47.64051560420438,46.26806291295141,45.89149236541856,47.26505011410739,56.266936066798536,65.68497833797427,65.02094929894864,66.99707275084526,64.62038974425133,60.91251324948258,59.7940397490728,57.45284498576633,59.48662818241095,60.15926084296954,62.72323007273505,71.46051847206797,71.34766698830687,65.45578154976067,59.72143841275168,53.95802394220998,52.10728108663663,50.05278887347776,48.71761509108657,46.63754512377927,44.34286565349363,41.76432897780376,40.762389644598656,42.10336302142102,44.364599683584025,46.06509011698873,51.2934037651757,58.65649478138624,57.895259222305874,56.45742583782723,58.834481544462726,56.310525221064495,54.819939225666054,54.74922982964501,55.26102491639338,63.09054803627075,66.73391110900009,65.16464098857477,58.49666829857064,54.282914146205236,53.7128216396729,52.10362778662068
2019-01-05,48.42214116977836,45.82882561022743,44.70786728951317,42.15449379974574,41.03708595049565,42.77078555690101,44.880635110561336,47.92936177534713,51.54346144819022,63.03727989672207,61.73052618251446,59.81415949770324,62.2410068571223,60.76684112427335,56.13844936367329,55.706168893199965,58.78291060128675,66.44908651169642,68.1502583073337,62.66539867349119,56.6247176192444,54.80393019576684,53.85426025639145,52.102203523261,49.700860000258025,49.058074973261306,48.98800413410026,46.40832229620782,44.80864598193466,46.46356701614403,48.1124164899085,47.960498072884576,48.298206998874726,52.98161999382686,58.20444429004046,59.351497228496754,58.37384711428691,54.166621885740376,54.07900564001244,55.79987200804414,57.90875323035606,71.8702883711122,73.10149471346719,66.55387117440766,60.97150121279828,55.3934388477676,55.10514595462487,51.99094867377582
2019-01-06,49.19436926717633,52.05084863209558,52.85723300056141,48.06167924195008,48.69454359298655,47.38620938487546,51.395471375202376,53.6175734028512,51.36067578518723,54.98133176669059,62.501775986896575,64.88926791429947,64.04480048129655,58.82094144802998,58.401887750100656,59.80968274814997,62.28190774835185,74.99058284294274,78.9806037797884,72.16464438899919,63.33115174949848,55.38722064495335,56.4514765808186,52.35434956344624,51.77949079172331,50.51927621375525,49.116834845577486,47.137978020626505,46.13312780278453,46.938283556900764,59.496703247618385,68.8257182155417,70.6954201652405,71.38556852507762,67.54962660840806,65.32476478718209,68.89691234544355,63.187300662845715,62.28440623501982,60.069809453113805,63.94743559016443,77.00414810532348,66.56788324211146,58.32200777203103,53.94176188248971,50.70506834295033,51.12928721148106,49.20801800710863
2019-01-07,54.60015357857183,48.78960764020099,47.590054261539066,45.50168351653468,44.91115594617971,45.21019928476289,55.91524725780442,68.07263966926755,67.81006245145862,67.68495799874087,64.90024578013983,63.87119673505612,65.31942797110885,60.90996833230567,59.56089216643093,56.842483962135866,60.92496325834911,70.34374267696008,64.46854900197353,58.2213248287847,55.54404435587941,50.517350209939785,51.34344298031063,49.014028923461005,47.35151358386243,46.23389923867106,44.135239926846445,42.34267878229285,38.83460915315381,42.11182760822578,50.333203542349864,55.91637289847177,58.93574764253444,61.66859631127911,60.918057418884125,58.17095969382022,53.78363002598857,53.717272009815304,54.7139811173254,54.83266004648756,57.93563494164306,69.0563027614261,62.66994761002671,60.26715607487348,57.58784736762197,55.03537189218156,53.548419681906644,49.61690775534356
2019-01-08,46.21022517294083,44.43851684846037,44.623997367566645,42.20622136177924,39.436441465334575,40.74535584156519,48.6316325584836,57.05328416046785,56.358843878684375,61.605921219497546,60.69089178092279,58.91651553951196,57.552092420212105,55.84888161985025,54.65986099331192,53.45745512005417,58.04724700884887,64.87054525519397,59.87114360952929,57.91120146026691,57.54375914458888,54.942785680905295,51.63898721763291,48.93677950470723,46.40846675031484,44.682474646384065,43.79310213346015,42.21282512743351,39.94788352795383,42.517768005013224,50.52312152445899,58.36769553803049,60.37284860706688,64.5644065670481,64.4469434027506,61.12075229053821,56.702154960209114,52.555787129746214,54.79603430454519,57.45441928929328,61.28749482211037,70.55224072871617,70.51861267946822,63.655792231660534,60.57026587686898,55.564050009662985,54.538371179812394,50.71089104307391
2019-01-09,40.557107066350696,42.27558754020748,42.21254829055024,40.24116649913537,39.26649889350804,41.25110646475813,48.6620829398282,57.8251929317422,56.30217549023377,61.55503110700296,63.54177723742315,61.08174328775994,55.9727147670285,51.626137917534,52.670409462498064,56.1975753205219,58.66287323074819,67.52295057105164,64.64992493215055,59.98750225085172,57.96866395876125,55.59580423445603,53.09311577766433,49.96668330329644,48.12255108038607,46.67663113126723,46.09917148222214,46.25879517548006,45.74676109594121,48.30258178297946,55.13933336544321,66.0429724098653,67.8519969835322,70.44439484608871,71.54698752029205,68.32683750515334,66.98466175817839,62.932077239492635,63.74471726841918,63.444430511267136,70.40305754280539,80.08791433433339,76.37855292838343,67.41586011303164,62.495447555115334,56.963909525366006,54.94897944219492,50.45988440916161
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
