Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2018-11-02,42.576911182594635,39.921395892657216,38.74904361027165,38.20084715138214,38.42572793971998,39.27949670069005,48.71450531013275,54.793531606305436,61.75881275610823,62.294464534244035,59.9796841081765,58.533833940290315,53.04288103819787,52.99164750325595,51.592392874163174,53.36713680706943,56.681403166848426,68.46571187335611,70.12782599916747,67.80797907150824,63.05340683200656,56.89726401852644,57.3397567644719,51.40836191845816
2018-11-03,49.01868814115812,45.76849683137915,46.947324063660986,46.129880514339824,44.38322099791614,44.80022362794696,47.488476696764536,52.52965875371969,55.503109244660884,63.286911551668524,61.53763539065859,56.69415950668339,53.25315511002839,49.42270945838338,50.114317614339704,49.99874018233141,55.41868255718912,67.72230952176565,66.45801247766433,63.35056803268409,54.66362751667781,47.546931323527964,52.3475929584809,49.78089297467701
2018-11-04,46.62747237886317,43.350870948718985,42.661914176409496,41.70109463039226,41.69558752282718,42.56503439162332,44.25739131407566,46.80198936651231,50.91594501117769,55.66211180885416,53.05573910165323,52.68875086093704,50.12342014571614,50.57762226255322,51.21632233478779,51.793691532346116,55.39350201124684,68.00415688221572,62.75883730241587,58.774697182703974,52.30777535771265,50.66900275692026,51.82739067601955,49.58823037379207
2018-11-05,49.90754471373614,46.4533497882961,44.14953747958504,42.25309303374457,42.23322730401718,43.24258791920571,57.26916031664894,60.92733425328773,64.71584453879223,66.86027605020907,65.27238602283458,67.1202382025726,68.16781950456948,62.646414404184824,66.68753057803606,64.16054171329579,72.52914086899904,78.40261310666104,82.31050740275626,71.87361674638257,59.76432516188792,59.0934297898196,53.52887403680943,51.067127065117944
2018-11-06,53.14182544025756,45.942358257710744,44.65103240786227,42.87983861812939,41.0969402812325,44.33441852428697,58.5988337120783,68.14103274502494,69.93681341789663,73.5480922233847,65.66425885039331,63.818351236217694,58.92718221080835,60.16459194516375,57.865380147918124,57.91770385194537,64.14735042743317,74.8801312929091,72.46522026035248,65.71353796975443,52.698848223289644,53.55346172428671,52.39482852686145,48.86469131438531
2018-11-07,48.63973588263489,43.924518160159515,42.50043447537689,41.8521282702393,40.58426527181932,42.63976911329514,52.05226924249774,61.76440673893136,64.13289353849541,71.12503464694728,70.18745337890083,61.97196940067447,57.94045513416481,56.03388617786482,58.862556932405695,60.53773025569549,62.85573489089165,79.24850336248953,74.56308189680956,70.67168098405638,57.725302174474564,54.103620349960465,50.85257028088504,48.77438744361505
2018-11-08,45.731179473078626,44.96602574916438,42.392520685747726,41.67477697864757,41.77833878062383,43.82195763469525,52.28647557823591,63.70059179595677,63.39728672255266,67.98843165242457,67.88099153810641,64.50016842795517,62.06248799933507,61.923733477006586,64.55087667953093,68.38277537483128,75.57143589710456,86.36029616362421,83.02625009093032,77.46302110371141,62.62554239833153,59.322600304668306,57.329365013508394,51.364407887109934
2018-11-09,49.01315787813793,47.37638796312428,43.98969847890021,44.765163112439915,42.91479262354388,44.823815395509456,57.30966304329904,68.009799860173,72.02767143614203,75.23012092970508,73.21223100080189,65.62943113863905,62.9439629028184,59.64060141962048,56.522148183640645,58.672020240323825,65.312083728029,76.95355553004711,77.87694805473771,68.23033087874724,61.95342222796165,51.476467846068594,48.70375990475821,49.394806814264804
2018-11-10,49.116509614138565,44.39086227138364,42.1445657056155,41.53934251586071,41.136585937276536,40.91960303690633,46.02038390049833,46.714668610319904,48.05099865830474,58.97724765383651,57.04215926175014,52.935230642144525,49.83255725303821,49.03300155174849,48.664178772835825,51.175362955154135,56.62985515640517,69.29296962887294,72.29603573225145,66.37427220119753,60.9165726608381,57.13198349548634,57.36299674642247,51.669288657529634
2018-11-11,51.75613040440638,47.36290959070945,44.99067332196989,43.47659239845977,40.64192438653992,42.18360741793005,45.22453054736105,48.81220365782848,49.98346092123957,54.03583726568104,54.192825423211985,55.01670831212136,54.8796544964511,50.471171636336706,48.764892064145435,48.90845446466077,52.602667014125494,65.78511041010063,67.62486422795664,72.29525836708643,64.8335125235294,57.85542368975623,56.22463918747084,54.31922730941863
2018-11-12,51.39411524072262,51.35813321463515,48.97078748785692,44.80097711621424,43.087837988859704,45.337453585095844,58.630220648460856,67.76961726651312,66.03331990277592,68.84062514004191,71.25310389505718,71.32038948241495,68.97092620179981,70.48777058404364,67.17901590424694,76.56567695029194,87.64771237887858,96.71820823416067,90.4981175444762,84.97602837142301,68.17004942586738,58.45795156118676,56.30649449750603,54.44533612108089
2018-11-13,46.42262312337997,46.606130145114015,42.763050416928166,41.541259469290345,38.261266064689494,42.0862454613908,51.050098111222376,61.344541558448995,67.44372965163096,68.88689807340903,69.26996038907576,64.07079369201833,61.07960551877847,62.13079196445412,55.56413192413385,62.32596090200953,64.11321464405613,75.98932088502957,80.6782805946992,73.54722879972347,65.69402460612324,55.79273962678708,50.376218385429304,51.81516866384683
2018-11-14,48.92862470598966,51.46028236936994,47.66560335033436,47.22239711235562,44.83602015505426,49.3624962957081,55.335203555445744,67.9198360560781,68.43855356987653,69.56871436003094,66.69950962621348,61.15560713406092,60.40949801061993,63.51094732404708,64.93366988586196,72.99050987090531,79.00996546183298,94.16273910791227,84.90276839109177,75.73419474890144,62.244820033988354,60.12729773776944,49.153383624810736,52.40855301658869
2018-11-15,53.30622628624762,52.20251498641821,49.38165955051828,49.47032109906148,50.051630309158426,51.47561797341175,62.284145461844005,73.72252474346264,73.80149732190185,74.15381348346045,70.88509702237062,66.69430450331507,61.42269297807454,61.95297332311644,63.52213997080652,70.01960148877947,79.2056696075106,95.97597310039174,93.46980903352444,81.39920178939721,74.63189093318098,62.229336566189865,55.1982551837758,53.085017715536466
